Nom,Catégorie,Thème,Adresse,Téléphone,Site web,Latitude,Longitude,Lien Google Maps,Date d'import,Statut,place_id
Passion Oceane - Wind Dancer,activites,excursions,"MU, Public Beach, Grand Baie 30546",+230 5498 8585,http://www.passionoceane.com/,"-20,0124093","57,5836944",https://maps.google.com/?cid=2864065792299776409&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJHSQsU4GrfSERmTlg46k0vyc
Perle d'ocean catamaran,activites,excursions,Grand Baie,+230 5509 0713,https://www.catamaranperledocean.com/,"-20,0128926","57,5833631",https://maps.google.com/?cid=1727043392322724839&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ0x9V0XerfSER5-MUp9Cw9xc
Sunrise Paradise Excursions Mauritius,activites,excursions,"MU, Trou aux Biches 22321",+230 5790 7268,https://www.sunriseparadise.mu/,"-20,0354078","57,5448457",https://maps.google.com/?cid=14991602539486399837&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJL2_IbrKtfSERXU3uqxTfDNA
Blue Yonko Ltd,activites,excursions,"MU, Route Royal, Grand Baie 30515",+230 5811 7126,,"-20,0110271","57,5835804",https://maps.google.com/?cid=14843579741749863542&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJIeBT1BarfSERdmQvZiH9_s0
SEXYBOY Watersports,activites,excursions,"Coastal Road, Cap Malheureux",+230 5253 6802,https://tantulika1.wixsite.com/tour/mauritius,"-19,9858658","57,6062728",https://maps.google.com/?cid=14379028833522534244&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJq2w1VzOrfSERZMc1bYqSjMc
Whitsundays Excursion Maurice speedboat,activites,excursions,"MU, Coastal road, Cap Malheureux 31702",+230 5904 3759,https://whitsundaysexcursion.com/,"-19,9857841","57,6064791",https://maps.google.com/?cid=10132217075585819708&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJYxMAV6GrfSERPKRwWb_dnIw
Paradisio excursions ile maurice,activites,excursions,"MU, Subash Chandra Bose St, Port Louis 20101",+230 5766 1628,,"-20,1372643","57,5251708",https://maps.google.com/?cid=13159390187989488665&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJpT7SPstRfCERGdTfj6eLn7Y
Sea Serenity Mauritius,activites,excursions,"MU, La Résidence, La Residence, Royal Road, Cap Malheureux 31702",+230 5517 7600,http://www.seaserenity-mauritius.com/,"-19,9864422","57,5986003",https://maps.google.com/?cid=7450020903422350564&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJS8GcA_WrfSER5FS5LYrKY2c
PureFive Tours- Mauritius,activites,excursions,Grand Baie,+230 5703 5500,,"-20,0038207","57,5953827",https://maps.google.com/?cid=6505599637527818126&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJPw8AZgCrfSERjm_B9WaISFo
Blue Safari Catamaran - Grand Baie (Northern Islands),activites,excursions,"Sunset Boulevard, 2 coastal road, Grand Baie",+230 265 7272,https://blue-safari.com/catamaran/?gad_source=1&gad_campaignid=21218833377&gbraid=0AAAAAqYpj-KwZfDhs8gq656_hJXS4mjYC&gclid=Cj0KCQjww4TGBhCKARIsAFLXndQyEWJEmIRWURskSv8-iAqSLyp2xFxyffKd2qWf7IVE4TEsM7av44YaAo-hEALw_wcB#northactivity,"-20,0131496","57,5837738",https://maps.google.com/?cid=8681168533616269130&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ38WYeQCrfSERShd_Wcm0eXg
Blue Safari,activites,excursions,"Coastal Road (Near Le Pascatore B36, Trou-aux-Biches",+230 265 7272,https://blue-safari.com/,"-20,0254045","57,5506847",https://maps.google.com/?cid=15105766230606450722&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJF1vJ8Z-sfSERIpBjW1p2otE
Catamaran and speed boat 2 northern islands,activites,excursions,"XHQM+6PP, Grand Baie",+230 5934 7511,,"-20,0119094","57,5843313",https://maps.google.com/?cid=12705815889848589881&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJJ45VEaqrfSEROV7wxzsgVLA
Croisières Australes,activites,excursions,"Blue Safari, Coastal Road, Trou-aux-Biches",+230 265 7272,http://www.blue-safari.com/catamaran/,"-20,0254557","57,5507992",https://maps.google.com/?cid=8306036667803277646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ4QAViaCrfSERTpnIk1f4RHM
King Cruise Catamaran Grand Baie,activites,excursions,"Plage publique, Grand Baie",+230 5948 6910,https://www.facebook.com/Yeshkiashphoto?mibextid=uzlsIk,"-20,0128751","57,5840435",https://maps.google.com/?cid=15553480143302859953&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJM9S52xOrfSERsZyo0sgP2dc
Seabob Mauritius,activites,excursions,"Départ du ponton sunset face au restaurant, La Kaza, Grand Baie",+230 5253 6704,http://www.seabob.mu/,"-20,0143029","57,5835717",https://maps.google.com/?cid=8287552743152804015&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ4bSuPAmrfSERr-DvgE9NA3M
Nauti Buoy Mauritius,activites,excursions,"MU, Cap Malheureux 31706",+230 5770 1684,https://www.facebook.com/share/1Do9nuPP2n/,"-19,9865975","57,6219534",https://maps.google.com/?cid=12860958270475419413&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ1Tiq76WrfSERFT_PHmhNe7I
L'Indien Private Speedboat Trips,activites,excursions,"MU, Costal Road, Grand Baie 30510",+230 5252 8475,,"-20,0126913","57,5841167",https://maps.google.com/?cid=9508762275287348757&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ9a7i3XKrfSERFTYj6Ojo9YM
Zolil ~ tour operator di Autentica Avventura,activites,excursions,"Round About Lower Vale, M2 The Vale MU, Grand Baie 31301",+230 5737 6570,https://zolil.it/,"-20,033134","57,5910402",https://maps.google.com/?cid=16694265997180305989&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJzc8uXJarfSERRYLQc3nyrec
Reyaz Tour Guide LTD,activites,excursions,"Royal road, Grand Baie",+230 5756 5050,,"-20,0096711","57,5821612",https://maps.google.com/?cid=3122751470243881113&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJm0gD66WrfSERmSC3yeo9Vis
Ebrahim Tours,activites,excursions,"Royal Road, Grand Baie",+230 5745 0101,https://www.ebrahimtours.mu/,"-20,0128327","57,5846044",https://maps.google.com/?cid=217784278032965291&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ52l-HHOrfSERq97RoaW5BQM
Respect Water Sports,activites,excursions,"MU, Public beach, Grand Baie 30510",+230 5477 6706,,"-20,0094952","57,5553982",https://maps.google.com/?cid=14294854339413196145&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJfSpotSyrfSERcb2syEiGYcY
CALYPSO,activites,excursions,"XHPM+PCX, Grand Baie",+230 5759 2318,https://m.facebook.com/pg/apsaraieltd/about/,"-20,0131418","57,5836175",https://maps.google.com/?cid=8258215722820677415&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJY49Zhg2rfSERJ69FLXITm3I
VAVA VOOM CRUISE,activites,excursions,"B35, Pointe aux Piments",+230 5255 0750,https://www.vava-voom-cruise.com/?,"-20,0701896","57,5224415",https://maps.google.com/?cid=15816291383353612470&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJtVzLz8BTfCERthjdADfBfts
Predator Cruiser,activites,excursions,"Route Royale, Grand Baie 30510",+230 5927 7109,http://www.predatorcruiser.com/,"-20,0150967","57,5715728",https://maps.google.com/?cid=7148306089398849181&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ6XmJvHOrfSERnU5h1IPiM2M
Ocean Whisper Mauritius,activites,excursions,"Cap Malheureux MU, Public Beach, Port Louis 31701",+230 5859 9545,,"-19,9869148","57,6217107",https://maps.google.com/?cid=2190013228737853139&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJSTgzAU2rfSER03ZTqG19ZB4
Mauritius Island Tours & Rentals,activites,excursions,"WGQW+CVG, Triolet",+230 5794 5952,http://www.mauritiusislandtour.com/,"-20,0612739","57,5469071",https://maps.google.com/?cid=13655625624220678825&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJfyvLAABTfCERqTpllSeHgr0
Nobin Tour Opérateur & Transferts a l'île Maurice & les îles dans l'océan Indien,activites,excursions,Cap Malheureux,+230 5779 0088,https://g.co/kgs/zLXYXMC,"-19,9878143","57,6154165",https://maps.google.com/?cid=4761510616715283975&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJA-juv4irfSERB86Qp61IFEI
Monalysa Holidays & Tour Operator,activites,excursions,"Route La Salette, Face Village Hall B11, Grand Baie",+230 5937 7750,http://monalysaholidays.com/,"-20,0131024","57,5858",https://maps.google.com/?cid=16358540185538023160&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJN8Z0YgirfSER-E7yoqA1BeM
Lune d'Or - Souben Cunee,activites,excursions,"Plage de, Grand Baie",+230 5477 5634,https://lune-dor-souben-cunee.odoo.com/,"-19,9853574","57,6068548",https://maps.google.com/?cid=7221371989754606062&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJr6JSRuGrfSER7nFHcJB3N2Q
ISA MAURITIUS Kalodyne Mauritius,activites,excursions,"WESTEND MU, 1 COASTAL RD, Calodyne 31703",+230 5788 8878,https://isa-mauritius.com/,"-20,0098906","57,6448722",https://maps.google.com/?cid=2037970756321901357&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJwaQ8OvwBfSERLXsz8ZpTSBw
Flora And Marina Tours,activites,excursions,"WGM9+PRF, B35, Pointe aux Piments",+230 261 2201,,"-20,0656844","57,5195444",https://maps.google.com/?cid=18345040479065059465&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJqbiCqBBTfCERibDVmB6tlv4
Séjour Maurice,activites,excursions,"Route Royale MU, Domaine Mont Calme, Tamarin 90905",+230 5828 8685,https://www.sejour-maurice.com/,"-20,3402854","57,3653919",https://maps.google.com/?cid=14329974607203085552&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJz3qhgSP5BgYR8Cy1VvtL3sY
Your Island Voyage Mauritius,activites,excursions,"Mauritius Cap Malheureux MU, Church, Beach 31711",+230 5750 7309,http://www.islandvoyages.mu/,"-19,986269","57,6234279",https://maps.google.com/?cid=3037432335097595781&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJy6mkGACrfSERhQfHop0gJyo
Excursion Ile Maurice,activites,excursions,St Pierre,+230 5940 1000,http://www.excursionilemaurice.com/,"-20,218056","57,533462",https://maps.google.com/?cid=17833956139558861632&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJyaqqqg1afCERQHtN3p7wfvc
Catamaran Gabriel Island Cruise Mauritius,activites,excursions,"32 Chem. Vingt Pieds, Grand Baie",+230 5254 7733,https://mauritiusgabriel.com/,"-20,018328","57,5855851",https://maps.google.com/?cid=4210248055573893249&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJUVsHoQ-rfSERgdDCuEzObTo
Jardin Endémique et Animalier de Cap,activites,parcs-animaliers,"2J79+4MP, Cap Malheureux",+230 269 1800,https://animalierducap.mu/fr/,"-19,9873661","57,6198216",https://maps.google.com/?cid=11139906016399573458&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJNY_mdQCrfSER0sG7CoDlmJo
Casela Nature Parks | Ile Maurice,activites,parcs-animaliers,"Royal Road, Cascavelle",+230 401 6500,https://caselaparks.com/,"-20,2908068","57,4040382",https://maps.google.com/?cid=1896914440360566696&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJnyzvaKNDfCERqB8AG6IxUxo
Bel Ombre Nature Reserve,activites,parcs-animaliers,"MU, B9, Royal Road, Bel Ombre 61002",+230 660 7400,https://www.belombrenaturereserve.com/,"-20,5009963","57,4406611",https://maps.google.com/?cid=4618207020799967892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ_yFglzVufCERlEL_LdEqF0A
Safari Adventures,activites,parcs-animaliers,"c/o Casela World of Adventures, Royal Road, Cascavelle, Black River 90204",+230 452 5546,http://www.safari-adventures-mauritius.com/,"-20,290437","57,40318",https://maps.google.com/?cid=10500487084504310185&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJCX_gcqJDfCERqeF0kF45uZE
La Vanille Nature Park,activites,parcs-animaliers,"SENNEVILLE, Riviere des Anguilles, Riviere des Anguilles 60602",+230 626 2503,http://www.lavanillenaturepark.com/,"-20,4992338","57,563272",https://maps.google.com/?cid=6639309134932929292&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ9XjfW4VjfCERDOuuTXuQI1w
Tulawaka Gold Coaster,activites,parcs-animaliers,"PC44+3Q, Cascavelle",,,"-20,2948","57,406921",https://maps.google.com/?cid=11107457678870228914&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJr4_OxuNDfCERsq--uuidJZo
La Vallée de Ferney,activites,parcs-animaliers,"B28, Vieux Grand Port, Mahébourg",+230 660 1937,https://www.ferney.mu/,"-20,3625775","57,7064693",https://maps.google.com/?cid=16831002003580644000&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJYZum0Vn0fCERoOpP1SW7k-k
Parc national de Bras d'Eau,activites,parcs-animaliers,Maurice,+230 410 0413,https://npcs.govmu.org/Pages/National%20Parks/Bras-D'Eau.aspx,"-20,1365566","57,7331934",https://maps.google.com/?cid=5686250068587104788&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJIenCZaL-fCERFMosck-e6U4
Île aux Aigrettes,activites,parcs-animaliers,"HPHM+X4V, Mahébourg",,https://www.mauritian-wildlife.org/Ileauxaigrettes,"-20,42","57,7328",https://maps.google.com/?cid=17265304687587383122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJG9XLujKLfCERUleISiOvmu8
Jardin botanique Sir Seewoosagur Ramgoolam,activites,parcs-animaliers,"John Kennedy St, Pamplemousses",+230 243 9401,http://ssrbg.govmu.org/,"-20,1070516","57,5797065",https://maps.google.com/?cid=12903162337128428707&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJB0u1o0NUfCERozS9H8g9EbM
Odysseo- oceanarium (Mauritius) LTD,activites,parcs-animaliers,"Harbour Waterfront, Port Louis",+230 659 8000,http://www.odysseomauritius.com/,"-20,1593375","57,4951185",https://maps.google.com/?cid=11892312277627127089&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJKWUiqmRRfCERMUX7IQL7CaU
Rivulet Terre Rouge Estuary Bird Sanctuary,activites,parcs-animaliers,"VG53+C6V, Port Louis",+230 217 2886,,"-20,1413875","57,5030394",https://maps.google.com/?cid=2933024507326757967&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJK-Y7_aFRfCERT_y55D8ytCg
Parc national des gorges de Rivière Noire,activites,parcs-animaliers,B103 - Plaine Champagne Road,+230 464 4053,https://mauritiusattractions.com/black-river-gorges-national-park-p-1314.html,"-20,4263719","57,4509443",https://maps.google.com/?cid=13020248915911721534&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJt8DLt5hofCERPkIVoGc3sbQ
Big Foot Adventure,activites,parcs-animaliers,"Union Ducray. Rivière des Anguilles, Savanne",+230 5250 7906,https://www.bigfootadventure.net/,"-20,5081742","57,5446242",https://maps.google.com/?cid=1011489801415386041&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJq-u3lYJkfCERuWNLg52ICQ4
Ebony Forest Chamarel,activites,parcs-animaliers,"Chamarel MU, 90409",+230 460 3030,http://www.ebonyforest.com/,"-20,4376375","57,3738771",https://maps.google.com/?cid=1652038674893556352&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ-ZqTgAJsfCERgMo8BGw47RY
Explorers Mauritius,activites,parcs-animaliers,"MU, 1 Route Cotiere, Le Morne 91202",+230 5258 4141,http://explorersmauritius.com/,"-20,4461809","57,3421985",https://maps.google.com/?cid=5728882638106505347&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJhRTIK0JsfCERg7A9DGgUgU8
