# Légende des thèmes valides (colonne themes, séparés par des virgules, sans espace) :
# mauricienne=Mauricienne & créole, fruits-de-mer=Fruits de mer, indienne=Indienne,
# asiatique=Chinoise & asiatique, europeenne=Européenne & française, italien=Italien & pizza,
# grillades=Viandes & grillades, vegetarien=Végétarien, fastfood=Fast-food & snack,
# bar=Bar & lounge, cafe=Café & pâtisserie
# Exemple : mauricienne,fruits-de-mer
id;name;address;phone;website;themes
les-canisses-resto-plage;Les Canisses Resto & Plage;Grand Baie;+230 263 5231;https://www.facebook.com/Lescanissesrestobarplage;
la-raie-manta;La Raie Manta;Rte de la Salette, Grand Baie;+230 5752 2591;https://www.facebook.com/profile.php?id=100090341207059;
fleur-de-mer;Fleur de mer;XHQM+2QC Plage, Grand Baie;;;
amigo-bar;Amigo Bar;Chem. Vingt Pieds, Grand Baie;+230 5806 0056;https://www.amigo-bar.com/;
baywatch-bar;Baywatch Bar;XHRJ+92P, Grand Baie;+230 204 2000;;
the-tavern;The Tavern;B13, Grand Baie 30525;+230 5766 9789;;
rooftop-adults-only-restaurant-bar-lounge;ROOFTOP (Adults only - Restaurant - Bar & Lounge);Inside Ocean V Hotel, Corner Royal Road and Old Mill Rd, Grand Baie;+230 260 2200;https://searesortshotels.com/ocean-v/;
the-hive-resto-bar;The Hive Resto Bar;Grand Baie;+230 268 0009;https://grubmates.io/locations/grandbaie/thehive.php;
shisha-flavours-lounge;Shisha Flavours Lounge;ORCHIDÉES STREET, Grand Baie;+230 5888 2855;http://shishaflavourslounge.com/;
omg-nightclub;OMG Nightclub;XHVJ+JP6, Grand Baie Rd, Triolet;+230 263 8906;;
bar;Bar;XHPM+WP7, Grand Baie;+230 263 7041;;
mafiozzo-tavern;Mafiozzo Tavern;Coastal Road, Grand Baie;+230 5976 6154;https://www.facebook.com/mafiozzo.tavern;
deja-vu-nightclub;DEJA VU Nightclub;XHVJ+HP8, B13, Grand Baie;+230 5929 2772;;
cocochill-restaurant-bar-a-cocktails-swimming-pool;CocoChill Restaurant / Bar à cocktails / Swimming Pool;Royal Road, B13;+230 268 3122;http://www.coco-chill.com/;
bar-principal;Bar principal;XHV3+QF9 c/o Club Med La, Rte Cotière, Grand Baie;;;
le-pole;Le Pôle;School road morcellement boucan, Grand Baie 30529;+230 5713 7878;https://www.facebook.com/lepolegb;
ice-club;ICE CLUB;XHJP+WHJ, Chem. Vingt Pieds, Grand Baie;+230 5477 2168;;
le-cabanon-bar-a-coquillettes-grand-baie;Le Cabanon * Bar à Coquillettes * Grand Baie;Royal road, Grand Baie;+230 5858 3125;;
the-gourmet-grill;The Gourmet Grill;MU, Royal Rd, Grand Baie 30512;+230 5252 0897;https://www.facebook.com/thegrill.page/;
